Language,Register Pair,mean,var,std,Register Pair,mean,var,std,Register Pair,mean,var,std
mkd,CC-CC,0.4067703951487862,0.05259660102552414,0.22874917892164143,WK-WK,1.3100621288247711,0.0019080505187360013,0.043568804038298485,TW-TW,0.8262522149192324,0.0025969002395620343,0.05082862218014417
mlg,CC-CC,0.7210747016865062,0.02162325362569777,0.14552510676935998,WK-WK,0.7337422595243731,0.006416903666242393,0.07927571454260049,TW-TW,1.0548786884733754,0.0006366917553145882,0.0249713498098482
pan,CC-CC,0.6271906860634163,0.010711139107953538,0.10322824263967241,WK-WK,0.849370200924902,0.0005068633971221482,0.02245567784408908,TW-TW,0.933382993095701,0.0033537945751130485,0.057762892569852696
por,CC-CC,0.39598568430961867,0.2069560185377267,0.4537532352041005,WK-WK,1.0348411735651029,0.001279724849810201,0.03568116335496008,TW-TW,1.0708754310696715,0.0007658209577827397,0.02760224000363682
rus,CC-CC,0.5194821481538362,0.02562712595143696,0.15967269512258292,WK-WK,1.276555915208988,0.0016431675402650444,0.040431665140135305,TW-TW,0.8937987493722541,0.0015293037064976038,0.03900565495886967
sin,CC-CC,0.6396007152471443,0.0023687274685641273,0.0485443010373591,WK-WK,0.8732881980116194,0.00016739280877456188,0.012904735350686848,TW-TW,0.8763759371306494,0.0010090152034744238,0.031683237961748635
slk,CC-CC,0.003330981035762168,0.18636560548714598,0.43058964991026005,WK-WK,1.2956761474737846,0.0014654498522648327,0.03818266040317347,TW-TW,1.063581190478677,0.0009063951049989588,0.03002890388509624
slv,CC-CC,0.032280855228733606,0.23996708634400646,0.48860346593520904,WK-WK,1.3785920302525005,0.0021531722080412774,0.04628284924164471,TW-TW,1.0822124737363004,0.0021888898872940484,0.04666514950553027
som,CC-CC,0.552455363813132,0.020125278858132284,0.14149844184233296,WK-WK,0.7783392070639208,0.009433292404363481,0.09687514206567661,TW-TW,1.3952505986865331,0.0050793673877131875,0.07108623570919309
spa,CC-CC,0.310977368680763,0.01610411666447633,0.12657535619155524,WK-WK,1.2265298480359217,0.0016271193917623092,0.04023374088526231,TW-TW,1.091038145377099,0.0016972228282349218,0.04109132414852256
swe,CC-CC,0.359224795178155,0.02518399491218561,0.1582861863583291,WK-WK,0.977944465897446,0.002252271305785795,0.047335945484019336,TW-TW,1.121097148217892,0.0015594703801066845,0.039388484318172934
tam,CC-CC,0.6133678698008413,0.005645056640691565,0.07494020142785772,WK-WK,0.7768218311868088,0.0006220078936584947,0.02487589140486225,TW-TW,0.9030645485005339,0.016066164935933342,0.12642612145900273
tel,CC-CC,0.8148704358665853,0.0049901489875844906,0.07045915983380213,WK-WK,0.7848266337777612,0.00044447367889536904,0.021028278878577777,TW-TW,0.824308176077472,0.01030431490912362,0.10124888878007868
tgl,CC-CC,0.6816976603091106,0.004327670048048786,0.0656157013118271,WK-WK,0.899751543205102,0.0009663435409144116,0.031006052512402314,TW-TW,1.052550850441711,0.000555831757973732,0.023515400654492116
tur,CC-CC,0.868367529881769,0.005489663628167723,0.07390155409355709,WK-WK,1.001884188393438,0.0011334865568463335,0.03358063397684624,TW-TW,0.9270971296410094,0.00046898907018436,0.02160041349711512
ukr,CC-CC,0.4212776591972321,0.008985028891535038,0.09454540860526667,WK-WK,1.283546193161135,0.0010036372901046475,0.03159869148812495,TW-TW,0.9946502025811129,0.001970981584124156,0.04428146569514974
vie,CC-CC,0.62403428377479,0.04479061070019517,0.2110931769639351,WK-WK,1.0214767608638922,0.005350657207878293,0.07295990644809833,TW-TW,1.1896119721639575,0.0029357177077162936,0.05404280103198266
bul,CC-CC,0.35285593456790204,0.044506479345157654,0.21042257199798195,WK-WK,1.406191584168862,0.016485158699122374,0.12806406124900604,TW-TW,0.8921727033343251,0.0134774223281404,0.11579348446905723
cat,CC-CC,0.7250496575470229,0.03042868342722815,0.1739891975477199,WK-WK,1.0158010943537497,0.009169915946354744,0.09551319692027416,TW-TW,0.9840386519724253,0.00797808977151542,0.08909024711107304
ces,CC-CC,0.4869868863358052,0.031063325987247394,0.17579425628959996,WK-WK,1.0490266803718495,0.008160785535344656,0.09010454263226413,TW-TW,1.0263053952241694,0.009465406191539271,0.09703989814121089
dan,CC-CC,0.5670451707063318,0.0714051424107201,0.2665296008928926,WK-WK,0.8742345754485484,0.01103779331138348,0.10479048076626025,TW-TW,1.2066455964850773,0.013848383616290642,0.11737625447917845
ell,CC-CC,0.530583608936034,0.0520351276754388,0.22752494413209015,WK-WK,1.2642009874228064,0.010744171188249012,0.1033872928913354,TW-TW,0.7702813069287623,0.01012011416878875,0.10033984137695401
est,CC-CC,0.2662893697030291,0.5941920819993235,0.7688544534372102,WK-WK,0.9852908451970359,0.009054978314049028,0.09491271822503317,TW-TW,1.1910580311348924,0.007648056789703542,0.08722806854704061
eus,CC-CC,0.7413206729187045,0.04404775043474237,0.20933534902723167,WK-WK,0.7886748779492819,0.017227998277957412,0.13091762376281335,TW-TW,1.190212534037658,0.010318598721592276,0.10131903994069628
fas,CC-CC,0.5009827083732525,0.031807798566309546,0.17788835143716367,WK-WK,1.215877508221049,0.0036502476710647816,0.06026176817716105,TW-TW,0.7580140043661758,0.002243330010719554,0.04724189252723587
fra,CC-CC,0.43618824678195983,0.0333928883535282,0.18226685371818926,WK-WK,1.0412096584434578,0.01238009112842436,0.1109794644936528,TW-TW,1.2251266729388637,0.006647713038561536,0.08132364505248409
gle,CC-CC,-0.04210856479374336,0.7636170361083223,0.8716025829101177,WK-WK,0.9014862377849724,0.0150907726241985,0.12252830957073928,TW-TW,1.3877146655822177,0.01401917429135913,0.11809783108475644
